at,content,score,userName,contentp,contentp_clean,text_length
2023-11-19 08:08:17,"Paketnya mahal2 dan data internetnya juga boros,,pokoknya gak rekomendasi pada para teman dan keluarga",1,Wildan Cell,paketnya mahal dan data internetnya juga boros pokoknya gak rekomendasi pada para teman dan keluarga,paket mahal data internetnya boros pokok rekomendasi para teman keluarga,72
2023-11-19 00:02:23,Ulasan lama : Parah ini kenapa ga bisa login di apps?? 16/06/2022 Update ulasan : Gak ada promo pengguna lama apa?,4,Deyubi kyubi,ulasan lama parah ini kenapa ga bisa login di apps update ulasan gak ada promo pengguna lama apa,ulas lama parah kenapa bisa login aplikasi update ulas ada promo lama apa,73
2023-11-18 22:02:21,Susah banget mau login ke aplikasi sampe jengkel,1,Asyraf Kaylani,susah banget mau login ke aplikasi sampe jengkel,susah banget mau login aplikasi jengkel,39
2023-11-18 18:21:34,Cukup bagus tapi sayang tidak ada menu blokir buat pengguna lain yang masuk tanpa seizin kita pengguna,5,Ardi Ardian,cukup bagus tapi sayang tidak ada menu blokir buat pengguna lain yang masuk tanpa seizin kita pengguna,cukup bagus sayang ada menu blokir buat lain masuk izin guna,60
2023-11-18 17:02:54,"Kencang dan stabil tapi mahaaallll,.. dimurahin dikit kayaknya bakal asik sih wkwkw",3,Bagas Eksanudin Aziz,kencang dan stabil tapi mahaaallll dimurahin dikit kayaknya bakal asik sih wkwkw,kencang stabil mahaaallll dimurahin sedikit kayak bakal asik sih wkwkw,70
2023-11-18 12:13:53,Sekarang sering ilang ilangan sinyal e,4,Ajeng Tyas,sekarang sering ilang ilangan sinyal,sekarang sering ilang ilangan sinyal,36
2023-11-18 10:56:10,"waspada sama orbit, aktifin paket. sampai 2 hari belum juga aktif. pelayanan buruk. dari veronica malah di oper ke email, facebook, instagram, twitter sampe ke grapari segala..EDAN dan masih juga suruh nunggu. akhirnya aktifin paket lagi di luar orbit. RUGI jadi double double keluar duit.",1,Sahwana Shugra,waspada sama orbit aktifin paket sampai hari belum juga aktif pelayanan buruk dari veronica malah di oper ke email facebook instagram twitter sampe ke grapari segala edan dan masih juga suruh nunggu akhirnya aktifin paket lagi di luar orbit rugi jadi double double keluar duit,waspada sama orbit aktifin paket hari aktif layan buruk veronica malah oper email facebook instagram twitter ke grapari segala edan masih juga suruh nunggu akhir aktifin paket luar orbit rugi jadi double double keluar uang,222
2023-11-18 10:36:19,Akun dan imei orbit tidak terdaftar sendiri padahal langganan paket lancar,1,Ilhan Mansiz,akun dan imei orbit tidak terdaftar sendiri padahal langganan paket lancar,akun imei orbit daftar sendiri padahal langgan paket lancar,59
2023-11-18 07:39:59,😲😮😧 larang² paketane om 🤦,2,Putro Ragil,larang² paketane om,larang paketane om,18
2023-11-17 19:51:10,"Produk gagal, jatingan tidak stabil.",1,Jonny Arung,produk gagal jatingan tidak stabil,produk gagal jatingan stabil,28
2023-11-17 18:52:22,"Aplikasi sebelum di-update, pembayaran banyak pilihan. Setelah di-update, pilihannya tinggal Gopay. Itu aja gagal terus buat bayar.",1,Boni Surahman,aplikasi sebelum di update pembayaran banyak pilihan setelah di update pilihannya tinggal gopay itu aja gagal terus buat bayar,aplikasi update bayar banyak pilih update pilih tinggal gopay saja gagal terus buat bayar,89
2023-11-17 18:47:43,Toppp,5,Moko Cirebon,toppp,toppp,5
2023-11-17 08:23:40,Top up ga masuk pembayaran berhasil,1,Irvan Sofian,top up ga masuk pembayaran berhasil,top up masuk bayar hasil,24
2023-11-17 08:10:50,Mantap,5,LA ODE MARSABAN,mantap,mantap,6
2023-11-16 23:22:16,"Udah di bayar masih aja sinyal nya (?). Tau gini nggak usah pake pascabayar. Balikin dwit gue, woi telkomonyet. Bayar ngga pernah telat tpi sinyal nya ngga jelas payah. ??????????????¿?????????????????????????????? ??????????????¿?????????????????????????????? ??????????????¿?????????????????????????????? ??????????????¿?????????????????????????????? ??????????????¿?????????????????????????????? ??????????????¿ Andai di sini bisa upload bukti pembayaran udah gue upload.😡😡😡",1,Paracemol 800mg,udah di bayar masih aja sinyal nya tau gini nggak usah pake pascabayar balikin dwit gue woi telkomonyet bayar ngga pernah telat tpi sinyal nya ngga jelas payah andai di sini bisa upload bukti pembayaran udah gue upload,bayar saja sinyal nya tau gin usah pakai pascabayar balikin dwit gue woi telkomonyet bayar pernah telat sinyal nya jelas payah andai sini upload bukti bayar gue upload,167
2023-11-16 22:30:33,👍👍👍,4,WEI EWIM,,,0
2023-11-16 21:39:50,"Lemotttt, Punya wifi tapi ujung ujungnya yang dipake paket data sendiri.",1,Anzir Palinta,lemotttt punya wifi tapi ujung ujungnya yang dipake paket data sendiri,lemotttt punya wifi ujung ujung pakai paket data sendiri,56
2023-11-16 20:14:04,"Perangkat orbit star lite payah.....sering ga konek, lampu nya merah, harus berulang reStart.... Pas udah lancar, ngedrop lagi, tanda merah, restart lagi.......capeee deehh",1,Diki Nugroho,perangkat orbit star lite payah sering ga konek lampu nya merah harus berulang restart pas udah lancar ngedrop lagi tanda merah restart lagi capeee deehh,perangkat orbit star lite payah sering hubung lampu nya merah ulang restart pas lancar ngedrop tanda merah restart capeee deehh,127
2023-11-16 10:16:49,"Udah 2 Mingguan ini jaringan ditempat saya gangguan, yg anehnya kalau ada bar sinyal yg muncul malah lag bukannya lancar",3,aziiz bisnis,udah mingguan ini jaringan ditempat saya gangguan yg anehnya kalau ada bar sinyal yg muncul malah lag bukannya lancar,minggu jaring tempat ganggu aneh kalau bar sinyal muncul malah lag bukan lancar,79
2023-11-16 09:08:55,Apk gak bermutu!!!! BENER BENER BURUUUUKKKKKKK,1,Kristin Nv,apk gak bermutu bener bener buruuuukkkkkkk,apk mutu bener bener buruuuukkkkkkk,35
2023-11-15 22:54:43,Modem orbit sy error..Payahhhhhhhh,1,R_Daka,modem orbit sy error payahhhhhhhh,modem orbit error payahhhhhhhh,30
2023-11-15 17:54:17,"Bikin kouta games kalo bisa, biar hanya bisa main game nga bisa buka youtube, dll yg bisa bikin lag",5,Dekido R,bikin kouta games kalo bisa biar hanya bisa main game nga bisa buka youtube dll yg bisa bikin lag,buat kouta games kalau biar main game nga buka youtube yang bisa buat lag,73
2023-11-15 11:41:52,"Mf kepada penerbit amplikasi my orbit,kami sebagai pelanggang tekekomsel orbit memohon, klw bisa tambahkan menu d app My orbit nya menu kuota bersama nya,agar kami menikmati pull layanan telekomsel biarr Luar Rumah Makasih🙏🙏🙏 KAMI BERHARAP🙏🙏",5,azza maulana,mf kepada penerbit amplikasi my orbit kami sebagai pelanggang tekekomsel orbit memohon klw bisa tambahkan menu app my orbit nya menu kuota bersama nya agar kami menikmati pull layanan telekomsel biarr luar rumah makasih kami berharap,mf terbit amplikasi my orbit bagai langgang tekekomsel orbit mohon klw tambah menu aplikasi my orbit nya menu kuota sama nya nikmat pull layan telekomsel biarr luar rumah makasih kami harap,189
2023-11-15 02:24:22,Bintangnya sementara saya tambah satu lagi karena sudah ada perbaikan sedikit untuk masalah sinyalnya semoga bisa dipertahankan kualitasnya...,2,groe gre,bintangnya sementara saya tambah satu lagi karena sudah ada perbaikan sedikit untuk masalah sinyalnya semoga bisa dipertahankan kualitasnya,bintang saya tambah satu karena ada baik sedikit masalah sinyal moga tahan kualitas,83
2023-11-14 20:51:19,"Nyesel juga beli orbit.. Apalagi aplikasi ini sering eror.. dan tak ada pembaruan. Tiap login sering keluar warning ""ops maaf sedang terjadi kesalahan sementara"" Sampah.. !!",1,fawzie achmad,nyesel juga beli orbit apalagi aplikasi ini sering eror dan tak ada pembaruan tiap login sering keluar warning ops maaf sedang terjadi kesalahan sementara sampah,nyesal beli orbit aplikasi sering error take baru tiap login sering keluar warning ops maaf sedang jadi salah sampah,116
2023-11-14 19:26:24,Ok,5,aa zz,ok,oke,3
2023-11-14 19:09:13,Kalau lupa pasword susah sx dpat konfirmasi ke gmailn y a,1,nayla fitriani,kalau lupa pasword susah sx dpat konfirmasi ke gmailn,kalau lupa pasword susah sx dpat konfirmasi gmailn,50
2023-11-14 18:42:42,"2 kali beli paket data, data kuotanya sering ga masuk rugi anjingg .. dpet notif sms pembelian data sudah aktif, pas di cek data kuota yg di beli ga ada kacau ini orbit k.o.n.t.o.l",1,Dickrockins _,kali beli paket data data kuotanya sering ga masuk rugi anjingg dpet notif sms pembelian data sudah aktif pas di cek data kuota yg di beli ga ada kacau ini orbit,kali beli paket data data kuota sering masuk rugi anjingg dpet notif sms beli data aktif pas cek data kuota beli ada kacau orbit,128
2023-11-14 17:35:38,"lumayan bagus,sngat membantu tpi hrga paket mahal.kuota cpt hbis.",4,Rosalina Rumi,lumayan bagus sngat membantu tpi hrga paket mahal kuota cpt hbis,lumayan bagus sngat bantu hrga paket mahal kuota cpt hbis,57
2023-11-14 16:24:17,"Ga bisa login udah isi pulsa malah ga bisa beli paket, kalo apk nya payah mending versi browsernya di buka aja, solusi dari twitter smpe ig ga guna. Suruh nunggu lagi ujung2nya",2,Tri Yoga,ga bisa login udah isi pulsa malah ga bisa beli paket kalo apk nya payah mending versi browsernya di buka aja solusi dari twitter smpe ig ga guna suruh nunggu lagi ujung nya,bisa login isi pulsa malah bisa beli paket kalau apk nya payah lebih baik versi browser buka solusi twitter smpe ig guna suruh nunggu ujung nya,143
2023-11-14 11:44:45,Harga paket sangat mahalll,1,Kho sok Kheng,harga paket sangat mahalll,harga paket sangat mahalll,26
2023-11-14 10:42:58,"Apps sudah membaik, tapi sayang sangat mengganggu. Banyak notif nya yg ngiklanin produk2nya. Ini saya bayar lho, ga gratis.. ga usah lah iklan2 segala",1,yoran artato,apps sudah membaik tapi sayang sangat mengganggu banyak notif nya yg ngiklanin produk nya ini saya bayar lho ga gratis ga usah lah iklan segala,aplikasi baik sayang sangat ganggu banyak notif nya ngiklanin produk nya saya bayar lho gratis usah lah iklan segala,116
2023-11-14 06:58:16,Oke,5,ali romdlon,oke,oke,3
2023-11-14 05:40:02,Ga bisa blokir pengguna liar! Aplikasi/sering dan bisa di bobol walaupun ada ganti password berkali² tapi tetap saja masi bisa di bobol. Dan parahnya tidak bisa di blokir,1,vikhek d2a3,ga bisa blokir pengguna liar aplikasi sering dan bisa di bobol walaupun ada ganti password berkali² tapi tetap saja masi bisa di bobol dan parahnya tidak bisa di blokir,blokir liar aplikasi sering bisa bobol walaupun ganti password kali tetap masih bisa bobol parah bisa blokir,108
2023-11-14 00:25:37,"Saya lupa pasword....saat pakai menu lupa pasword,email verifikasi yg berisi kode angka tidak masuk2....padahal sudah berkali2 dicoba",1,Ferdi Oktarian,saya lupa pasword saat pakai menu lupa pasword email verifikasi yg berisi kode angka tidak masuk padahal sudah berkali dicoba,lupa pasword pakai menu lupa pasword email verifikasi isi kode angka masuk padahal kali coba,92
2023-11-13 23:31:59,Punya saya kok gak bisa diganti pasword ya,4,Risky Adiputra,punya saya kok gak bisa diganti pasword ya,punya kok bisa ganti pasword,28
2023-11-13 13:12:30,"Kok gak bisa ganti nama dan password prangkat ya? Pilihan menu ganti password gak muncul min, mohon panduan",1,Toni Hahu,kok gak bisa ganti nama dan password prangkat ya pilihan menu ganti password gak muncul min mohon panduan,kok bisa ganti nama password prangkat pilih menu ganti password muncul minimal mohon pandu,90
2023-11-13 10:28:44,"Saya tidak bisa login, kenapa ya?",1,Abdul Mustakim,saya tidak bisa login kenapa ya,tidak login ya,14
2023-11-13 09:11:41,"udh ada kemajuan, tetapi ketika kita ganti nama perangkat yang terhubung namanya kembali seperti semula jadi susah mengenalinya siapa-siapa yang terhubung",4,Aries Saputra,udh ada kemajuan tetapi ketika kita ganti nama perangkat yang terhubung namanya kembali seperti semula jadi susah mengenalinya siapa siapa yang terhubung,ada maju ketika ganti nama perangkat hubung nama seperti mula jadi susah kenal siapa siapa hubung,97
2023-11-13 08:35:02,"Tidak bisa menyambung wifi padahal sandi sudah benar. mau mengganti sandinya tapi harus terhubung, sedangkan terhubung pun tak bisa. sangat tidak jelas",1,Bayu Nugroho,tidak bisa menyambung wifi padahal sandi sudah benar mau mengganti sandinya tapi harus terhubung sedangkan terhubung pun tak bisa sangat tidak jelas,sambung wifi padahal sandi benar mau ganti sandi harus hubung sedang hubung take bisa sangat jelas,98
2023-11-13 02:35:38,gimana cara ganti nama waifi sama ganti paswot,4,ahsan hidayat,gimana cara ganti nama waifi sama ganti paswot,bagaimana cara ganti nama waifi sama ganti paswot,49
2023-11-13 00:09:58,"Kenapa gak bisa setting mifi di aplikasi orbit ini, dan tidak bisa melihat setelan sinyal",2,DICKY _22 .sʜ,kenapa gak bisa setting mifi di aplikasi orbit ini dan tidak bisa melihat setelan sinyal,setting mifi aplikasi orbit tidak bisa lihat setel sinyal,57
2023-11-12 19:16:07,Sudah diperbaiki,5,INDRA 19,sudah diperbaiki,baik,4
2023-11-12 14:04:15,"Tidak bisa terhubung ke obit,hm",1,Rina Listiani,tidak bisa terhubung ke obit hm,bisa hubung obit hm,19
2023-11-12 11:58:07,"Setelah pembaruan tidak bisa login lagi padahal sandi gak pernah saya ganti kecwa udah paktnya tabah mahal jaringannya tambah jelek ,",1,Fajar Rizki,setelah pembaruan tidak bisa login lagi padahal sandi gak pernah saya ganti kecwa udah paktnya tabah mahal jaringannya tambah jelek,baru bisa login padahal sandi pernah ganti kecwa paktnya tabah mahal jaring tambah jelek,88
2023-11-12 11:08:59,"Cukuplah, di tempat saya, speedtestnya selalu download tinggi unggah rendah tidak seimbang mungkin untuk Streaming kurang baik. Aplikasi gak mau terhubung dengan perangkat modem jadi pakai manual alamat ip via browser untuk settingan dan blokir user. Modem tipe star lite ini baru setahun sudah rusak banyak minusnya sinyal nyambung kira-kira setengah jam lalu putus begitu terus jadi sampah sekarang.",4,Effendy Lim,cukuplah di tempat saya speedtestnya selalu download tinggi unggah rendah tidak seimbang mungkin untuk streaming kurang baik aplikasi gak mau terhubung dengan perangkat modem jadi pakai manual alamat ip via browser untuk settingan dan blokir user modem tipe star lite ini baru setahun sudah rusak banyak minusnya sinyal nyambung kira kira setengah jam lalu putus begitu terus jadi sampah sekarang,cukup tempat speedtestnya selalu download tinggi unggah rendah imbang mungkin streaming kurang baik aplikasi mau hubung perangkat modem jadi pakai manual alamat ip via browser settingan blokir user modem tipe star lite baru tahun rusak banyak minus sinyal nyambung kira kira tengah jam lalu putus terus jadi sampah sekarang,323
2023-11-12 09:13:37,Myorbit tetbaik,5,Robertus Sina,myorbit tetbaik,myorbit tetbaik,15
2023-11-12 06:53:31,The Best,5,Anne Pondaag,the best,the best,8
2023-11-11 21:17:52,Bgus,2,Rina Rusilandaripanmun,bgus,bagus,5
2023-11-11 21:14:09,"Saya suka awal nya menggunakan orbit ini, tpi makin lama saya makin tdk suka krna setiap kali ingin membeli paket inter lewat aplikasi selalu sulit untuk login, harga jga semakin mahal mengecewakan bgt",2,NI LUH AYU WIDIANTARI,saya suka awal nya menggunakan orbit ini tpi makin lama saya makin tdk suka krna setiap kali ingin membeli paket inter lewat aplikasi selalu sulit untuk login harga jga semakin mahal mengecewakan bgt,suka awal nya orbit tapi makin lama makin suka krna tiap kali beli paket inter lewat aplikasi selalu sulit login harga jga makin mahal kecewa banget,148
2023-11-11 20:43:53,"Katanya tiap bulan, dpt free 25gb selama 6 bln. Tapi di saya, cuma bulan pertama saja yg dpt. PARAHHHH...",1,Inne Lynda,katanya tiap bulan dpt free gb selama bln tapi di saya cuma bulan pertama saja yg dpt parahhhh,kata tiap bulan dpt free gb lama bulan cuma bulan pertama yang dpt parah,72
2023-11-11 18:27:03,Data 30G Rp 81.000 ☹️☹️☹️😤😞😓😓🤬🤬🤬🤬🤬,1,TBK Asril,data rp,data rp,7
2023-11-11 16:44:18,Saya ngk bisa login ke aplikasi,2,Bakpau Wew,saya ngk bisa login ke aplikasi,ngk login aplikasi,18
2023-11-11 14:18:33,𝒌𝒆𝒏𝒂𝒑𝒂 𝒔𝒆𝒌𝒂𝒓𝒂𝒏𝒈 𝒐𝒓𝒃𝒊𝒕 𝒔𝒖𝒔𝒂𝒉 𝒔𝒆𝒌𝒍𝒊 𝒍𝒊𝒂𝒕 𝒑𝒆𝒓𝒂𝒏𝒈𝒌𝒂𝒕 𝒚𝒈 𝒕𝒆𝒓𝒉𝒖𝒃𝒖𝒏𝒈,2,Babay Kusnadi,𝒌𝒆𝒏𝒂𝒑𝒂 𝒔𝒆𝒌𝒂𝒓𝒂𝒏𝒈 𝒐𝒓𝒃𝒊𝒕 𝒔𝒖𝒔𝒂𝒉 𝒔𝒆𝒌𝒍𝒊 𝒍𝒊𝒂𝒕 𝒑𝒆𝒓𝒂𝒏𝒈𝒌𝒂𝒕 𝒚𝒈 𝒕𝒆𝒓𝒉𝒖𝒃𝒖𝒏𝒈,,0
2023-11-11 11:36:25,Saya sudah daftar di aplikasi my orbit dan bisa masuk tapi skrg GK bisa buka lagi..mohon solusinya,3,Ekker Saogo,saya sudah daftar di aplikasi my orbit dan bisa masuk tapi skrg gk bisa buka lagi mohon solusinya,sudah daftar aplikasi my orbit bisa masuk sekarang bisa buka mohon solusi,73
2023-11-10 16:21:14,"Ndak ada lagi promonya""",3,Her Man,ndak ada lagi promonya,ndak lagi promonya,18
2023-11-10 16:03:29,"Wifinya si lancar, tapi apk nya yg harus di perbaiki 1. Kenapa saya tida bisa blokir perangkat yg terhubung 2. Kenapa saya tidak bisa membuat jadwal penggunaan, malah ada tulisan ""ada yg tidak beres"" 3. Padahal saya udah tersambung ke wifi, tapi kok malah ada tulisan tidak terhubung Tolong perbaiki lagi apk nya kalo sudah normal nanti saya kasih bintang 5 trimakasih",1,Rajib Lutfi,wifinya si lancar tapi apk nya yg harus di perbaiki kenapa saya tida bisa blokir perangkat yg terhubung kenapa saya tidak bisa membuat jadwal penggunaan malah ada tulisan ada yg tidak beres padahal saya udah tersambung ke wifi tapi kok malah ada tulisan tidak terhubung tolong perbaiki lagi apk nya kalo sudah normal nanti saya kasih bintang trimakasih,wifinya si lancar apk nya harus baik tida blokir perangkat hubung saya bisa buat jadwal malah tulis yang beres padahal saya sambung wifi kok malah tulis hubung baik apk nya kalau sudah normal saya kasih bintang trimakasih,221
2023-11-10 09:40:26,Ga ada daftar di apk nya aneh,1,Aji Nurulliyan,ga ada daftar di apk nya aneh,ada daftar apk nya aneh,23
2023-11-10 01:56:53,kenapa perangkat yg terhubung ke orbit tidak tampil di menu.,3,Srifitra Handayani,kenapa perangkat yg terhubung ke orbit tidak tampil di menu,perangkat hubung orbit tampil menu,34
2023-11-09 21:21:52,Aplikasi tidak bisa dibuka. Jadinya tidak bisa isi kuota internet via aplikasi.,4,Azwar Samad,aplikasi tidak bisa dibuka jadinya tidak bisa isi kuota internet via aplikasi,aplikasi bisa buka jadi bisa isi kuota internet via aplikasi,60
2023-11-09 20:36:44,Untuk poin dan penukaran poin itu tidak seimbang menurut saya karena mengumpulkan poin itu sangat susah,1,Ibnu Maulana,untuk poin dan penukaran poin itu tidak seimbang menurut saya karena mengumpulkan poin itu sangat susah,poin tukar poin tidak imbang turut karena kumpul poin sangat susah,66
2023-11-09 06:15:16,aplikasi bagus cuma pembelian paket data melalui aplikasi kurang respon bahkan data tadak masuk,1,Zulkarnain,aplikasi bagus cuma pembelian paket data melalui aplikasi kurang respon bahkan data tadak masuk,aplikasi bagus cuma beli paket data lalu aplikasi kurang respon bahkan data tadak masuk,87
