at,content,score,userName
2023-09-24 14:03:39,Aplikasi ini sangat tidak bagus saya sangatla marah dan saya akan menghapus aplikasi ini 😡😡😡,1,Qinnaya
2023-09-24 12:41:29,sangat berguna sekali ya teman teman,5,Ananta Pebrianto
2023-09-24 12:04:00,Its just so useful for me,5,Dokkan JP
2023-09-24 10:25:59,membuat pintar umat manusia,5,DafiUwU GamingXD
2023-09-24 10:04:36,nicee,5,Dean F
2023-09-24 08:19:52,kerja bagus!,5,Nur kholis
2023-09-24 07:36:24,Sangat membantu,5,Siti Padriya
2023-09-24 05:39:06,Chat gpt sekarang agak lain. Tingkat akurat agak kurang.,1,J_ARD45
2023-09-24 03:14:32,Keren sangat membantu bro,5,10_dzalaino exza Bowo s.p
2023-09-24 02:44:17,lumayan,5,Wahyu Ap_
2023-09-23 23:25:36,bagus. cukup membantu,5,Dennis Fadillah
2023-09-23 15:15:31,sangat membantu,5,Yulia Kholifatus
2023-09-23 15:14:42,Sangat membantu 👍👍,5,Doddy Ekohari Sandy
2023-09-23 14:03:24,Bagus banget asli dh nga perlu di raguin lagi,5,evan nugraha
2023-09-23 12:53:36,mantap bosku,5,alvaro gaming
2023-09-23 11:18:16,ChatGPT sangat membantu saya dalam mengerjakan tugas dan membuat ringkasan materi sekolah.,5,7E-1 Abigail Joy naftali
2023-09-23 11:17:58,"Terimakasih atas batuan nya, apk ini sangat membantu disaat saya kesusahan dan bagusnya lagi apk ini tidak premium, semoga yg developer sehat selalu",5,Reski Irawan
2023-09-23 10:50:42,"Aplikasi ini benar-benar mengubah cara saya bekerja. Kemampuannya untuk memahami dan merespons pertanyaan saya sangat mengesankan.""""Saya suka bagaimana AI ini membantu saya menyelesaikan tugas-tugas rumah tangga dengan cepat. Ini benar-benar asisten pintar yang selalu siap membantu."" ""Aplikasi AI ini telah meningkatkan produktivitas saya di tempat kerja. Fitur otomatisasi yang ditawarkannya sangat membantu.""""Sangat menarik melihat bagaimana AI ini belajar dari penggunaannya seiring waktu.",5,Ardhani 2326
2023-09-23 10:10:12,"I like chatgpt, but sometimes, he's a bit stupid",5,Exgaktai Gamer
2023-09-23 08:12:29,Bagus & bermanfaat. Terimakasih.,5,Oncom Gejos
2023-09-23 06:01:15,Bagus,1,Ryder black
2023-09-23 05:51:48,Luar Biasa. Mantap,5,Direx1828 Panaha
2023-09-23 05:43:25,Mendadak pakar 😁😁😁,5,studia lkp
2023-09-22 16:01:57,Sangat bagus untuk referensi,5,eddy setianto
2023-09-22 15:20:56,Keren,5,Dafa
2023-09-22 15:05:46,"keren bang, keren parah sumpah",5,Purple King
2023-09-22 14:03:27,keren banget,5,Hairani Lubis
2023-09-22 10:03:39,sangat membantu,5,Ragil Ariansyah
2023-09-22 04:21:54,Katanya aplikasi nya canggih kok jawabannya ngawur dan jawaban nya 2021 ini aplikasi apa apa an semoga aplikasi ini di blokir,1,Raymond Wiryajaya
2023-09-22 02:03:03,good job sumpah membantu banget,5,Nafisatul Fitria
2023-09-22 00:35:31,"Aplikasi terbaik dhh, karena kita bisa nyari semua hal itu langsung di rangkum, bedanya sama google kalau apk ini lebih ke menjelaskan garis besar jawaban dari pertanyaan kalian",5,David Valencia
2023-09-22 00:02:11,useful,5,Aqil_syathir_R
2023-09-21 17:25:17,Sangat membantu saya dalam kehidupan sehari-hari.,5,Rosidi Endah
2023-09-21 13:58:17,Luar biasa!!!,5,Rifqi Saputra
2023-09-21 13:36:50,aplikasi nya sangat bagus,5,Gres Saduk
2023-09-21 10:55:47,KEREN UDAH SAYA ANGGAP SAHABAT SENDIRI,5,Andri Maulana
2023-09-21 09:29:59,masok ti gipiti,5,BHIGT
2023-09-21 08:51:03,bener bener ngebantu banget terimakasih 🦋😍😍,5,Suci Kurniawati
2023-09-21 06:09:52,"Bagus banget, mempermudah hidup",5,M.Rizqi Jaya
2023-09-21 05:27:32,asik...,5,hadi hadiwiska
2023-09-21 03:30:51,Great,5,Muhamad Zahran Maisaan
2023-09-21 03:01:59,Keren anet sumpil,5,Raditza Bintang Ramadhan
2023-09-21 02:57:41,Google versi AI,4,muhammad syahroni
2023-09-21 02:45:44,sangat memuaskan,5,Muhammad Zailani
2023-09-21 02:41:27,Murahin fitur premiumnya biar cocok buat kantong pelajar:(,5,Andi Kurniawan
2023-09-21 02:38:44,suka dah mantap,5,Rush Yanto
2023-09-21 02:24:28,keren,5,Achay Chanjaya
2023-09-21 01:58:05,Amazing,5,Toriq Bonde
2023-09-21 01:40:11,Aplikasinya sudah bagus tapi tanggal update di percepat agar informasi lebih luas THANKS FOR YOU,5,Rizky
2023-09-21 01:25:07,i need a new update for this app😀,4,Haikal Faiz
2023-09-21 00:16:32,Its the prefeck,5,Irene 22
