at,content,score,userName,contentp,contentp_clean,text_length
2023-09-24 14:03:39,Aplikasi ini sangat tidak bagus saya sangatla marah dan saya akan menghapus aplikasi ini 😡😡😡,1,Qinnaya,aplikasi ini sangat tidak bagus saya sangatla marah dan saya akan menghapus aplikasi ini,aplikasi sangat bagus sangatla marah saya hapus aplikasi,56
2023-09-24 12:41:29,sangat berguna sekali ya teman teman,5,Ananta Pebrianto,sangat berguna sekali ya teman teman,sangat sekali teman teman,25
2023-09-24 12:04:00,Its just so useful for me,5,Dokkan JP,its just so useful for me,it is just so useful for me,27
2023-09-24 10:25:59,membuat pintar umat manusia,5,DafiUwU GamingXD,membuat pintar umat manusia,buat pintar umat manusia,24
2023-09-24 10:04:36,nicee,5,Dean F,nicee,nice,4
2023-09-24 08:19:52,kerja bagus!,5,Nur kholis,kerja bagus,kerja bagus,11
2023-09-24 07:36:24,Sangat membantu,5,Siti Padriya,sangat membantu,sangat bantu,12
2023-09-24 05:39:06,Chat gpt sekarang agak lain. Tingkat akurat agak kurang.,1,J_ARD45,chat gpt sekarang agak lain tingkat akurat agak kurang,chat gpt sekarang lain tingkat akurat kurang,44
2023-09-24 03:14:32,Keren sangat membantu bro,5,10_dzalaino exza Bowo s.p,keren sangat membantu bro,keren sangat bantu bro,22
2023-09-24 02:44:17,lumayan,5,Wahyu Ap_,lumayan,lumayan,7
2023-09-23 23:25:36,bagus. cukup membantu,5,Dennis Fadillah,bagus cukup membantu,bagus cukup bantu,17
2023-09-23 15:15:31,sangat membantu,5,Yulia Kholifatus,sangat membantu,sangat bantu,12
2023-09-23 15:14:42,Sangat membantu 👍👍,5,Doddy Ekohari Sandy,sangat membantu,sangat bantu,12
2023-09-23 14:03:24,Bagus banget asli dh nga perlu di raguin lagi,5,evan nugraha,bagus banget asli dh nga perlu di raguin lagi,bagus banget asli dh nga perlu raguin,37
2023-09-23 12:53:36,mantap bosku,5,alvaro gaming,mantap bosku,mantap bos,10
2023-09-23 11:18:16,ChatGPT sangat membantu saya dalam mengerjakan tugas dan membuat ringkasan materi sekolah.,5,7E-1 Abigail Joy naftali,chatgpt sangat membantu saya dalam mengerjakan tugas dan membuat ringkasan materi sekolah,chatgpt sangat bantu dalam kerja tugas buat ringkas materi sekolah,66
2023-09-23 11:17:58,"Terimakasih atas batuan nya, apk ini sangat membantu disaat saya kesusahan dan bagusnya lagi apk ini tidak premium, semoga yg developer sehat selalu",5,Reski Irawan,terimakasih atas batuan nya apk ini sangat membantu disaat saya kesusahan dan bagusnya lagi apk ini tidak premium semoga yg developer sehat selalu,terima kasih atas batu nya apk sangat bantu saya susah bagus apk tidak premium moga developer sehat selalu,106
2023-09-23 10:50:42,"Aplikasi ini benar-benar mengubah cara saya bekerja. Kemampuannya untuk memahami dan merespons pertanyaan saya sangat mengesankan.""""Saya suka bagaimana AI ini membantu saya menyelesaikan tugas-tugas rumah tangga dengan cepat. Ini benar-benar asisten pintar yang selalu siap membantu."" ""Aplikasi AI ini telah meningkatkan produktivitas saya di tempat kerja. Fitur otomatisasi yang ditawarkannya sangat membantu.""""Sangat menarik melihat bagaimana AI ini belajar dari penggunaannya seiring waktu.",5,Ardhani 2326,aplikasi ini benar benar mengubah cara saya bekerja kemampuannya untuk memahami dan merespons pertanyaan saya sangat mengesankan saya suka bagaimana ai ini membantu saya menyelesaikan tugas tugas rumah tangga dengan cepat ini benar benar asisten pintar yang selalu siap membantu aplikasi ai ini telah meningkatkan produktivitas saya di tempat kerja fitur otomatisasi yang ditawarkannya sangat membantu sangat menarik melihat bagaimana ai ini belajar dari penggunaannya seiring waktu,aplikasi benar benar ubah cara kerja mampu paham respons tanya sangat kesan suka bagaimana ai bantu selesai tugas tugas rumah tangga cepat benar benar asisten pintar selalu siap bantu aplikasi ai telah tingkat produktivitas tempat kerja fitur otomatisasi tawar sangat bantu sangat tarik lihat bagaimana ai ajar guna iring waktu,327
2023-09-23 10:10:12,"I like chatgpt, but sometimes, he's a bit stupid",5,Exgaktai Gamer,like chatgpt but sometimes he bit stupid,like chatgpt but sometimes he bit stupid,40
2023-09-23 08:12:29,Bagus & bermanfaat. Terimakasih.,5,Oncom Gejos,bagus bermanfaat terimakasih,bagus manfaat terima kasih,26
2023-09-23 06:01:15,Bagus,1,Ryder black,bagus,bagus,5
2023-09-23 05:51:48,Luar Biasa. Mantap,5,Direx1828 Panaha,luar biasa mantap,luar biasa mantap,17
2023-09-23 05:43:25,Mendadak pakar 😁😁😁,5,studia lkp,mendadak pakar,dadak pakar,11
2023-09-22 16:01:57,Sangat bagus untuk referensi,5,eddy setianto,sangat bagus untuk referensi,sangat bagus referensi,22
2023-09-22 15:20:56,Keren,5,Dafa,keren,keren,5
2023-09-22 15:05:46,"keren bang, keren parah sumpah",5,Purple King,keren bang keren parah sumpah,keren bang keren parah sumpah,29
2023-09-22 14:03:27,keren banget,5,Hairani Lubis,keren banget,keren banget,12
2023-09-22 10:03:39,sangat membantu,5,Ragil Ariansyah,sangat membantu,sangat bantu,12
